No,Nama Industri,Nama Pemilik,Nama Penanggung Jawab,Kecamatan,Kelurahan,Alamat,KBLI
1,sasirangan ading bestari,LISMAWATI,LISMAWATI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JALAN SIMPANG SEI MESA NO. 70,13132 - INDUSTRI PENYEMPURNAAN KAIN
2,SASIRANGAN ADY,ALI PERMADI,ALI PERMADI,Banjarmasin Timur (63.71.02),Sungai Lulut (63.71.02.1005),"JL. PRAMUKA KOMP. RAHAYU PEMBINA IV KOMP, SURYA PUTRI RAHAYU 2 JALUR 1 NO.22",13134 - INDUSTRI BATIK
3,Siska Sasirangan,Siti Salmah,Siti Salmah,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jl Sebrang Mesjid Gang II RT 5,13132 - INDUSTRI PENYEMPURNAAN KAIN
4,Ghaniyah Sasirangan,Nurul Huda,Nurul Huda,Banjarmasin Utara (63.71.04),Sungai Andai (63.71.04.1010),JL.PURNAMA PERMAI 2 JALUR 6 NO 132,13134 - INDUSTRI BATIK
5,Wienies Sasirangan (1334),DEWI ULFIANA SARI,DEWI ULFIANA SARI,Banjarmasin Barat (63.71.03),Belitung Utara (63.71.03.1001),Jl. S. Parman Gg. Kalimantan 1 No. 4 H RT 01 RW 01,13134 - INDUSTRI BATIK
6,Wienies Sasirangan (13132),DEWI ULFIANA SARI,DEWI ULFIANA SARI,Banjarmasin Barat (63.71.03),Belitung Utara (63.71.03.1001),Jl. S. Parman Gg. Kalimantan 1 No. 4 H RT 01 RW 01,13132 - INDUSTRI PENYEMPURNAAN KAIN
7,AL Sahid Sasirangan,RISMA WIDIYANTI,RISMA WIDIYANTI,Banjarmasin Timur (63.71.02),Karang Mekar (63.71.02.1003),JL. A YANI KM 3.5 GG. BINJAI RT. 08,13132 - INDUSTRI PENYEMPURNAAN KAIN
8,Adim Sasirangan Exclusive,HERRY RACHMATULLAH RAZAK,HERRY RACHMATULLAH RAZAK,Banjarmasin Barat (63.71.03),Belitung Utara (63.71.03.1001),JL. Belitung Darat GG. Rahayu No.21,13132 - INDUSTRI PENYEMPURNAAN KAIN
9,sasirangan Modern Jasymira,RINA RAHMAWATI,RINA RAHMAWATI,Banjarmasin Utara (63.71.04),Kuin Utara (63.71.04.1009),Jalan kuin utara gg al-mizan banjarmasin utara,13132 - INDUSTRI PENYEMPURNAAN KAIN
10,DM Sasirangan,UNTUNG DWIJAKSONO,UNTUNG DWIJAKSONO,Banjarmasin Timur (63.71.02),Pekapuran Raya (63.71.02.1008),Jalan Pekapuran Raya,13999 - INDUSTRI TEKSTIL LAINNYA YTDL
11,sasirangan batang alai 14111,Rabiatul adawiyah,Rabiatul adawiyah,Banjarmasin Tengah (63.71.05),Teluk Dalam (63.71.05.1004),JL. TUNAS BARU GG. TAQWA NO.02 RT.65,14111 - INDUSTRI PAKAIAN JADI (KONVEKSI) DARI TEKSTIL
12,Sasirangan Batang alai 13132,Rabiatul adawiyah,Rabiatul Adawiyah,Banjarmasin Tengah (63.71.05),Teluk Dalam (63.71.05.1004),Jln. Tunas baru GG taqwa no 2,13132 - INDUSTRI PENYEMPURNAAN KAIN
13,Malla Sasirangan 13134,Noorkumala,Noorkumala,Banjarmasin Tengah (63.71.05),Mawar (63.71.05.1003),Jl. H.Djokmentaya GG.Guntur RT.06,13134 - INDUSTRI BATIK
14,MALLA Sasirangan 13132,NOORKUMALA,NOORKUMALA,Banjarmasin Tengah (63.71.05),Mawar (63.71.05.1003),Jl. H.Djokmentaya GG.Guntur RT.06,13132 - INDUSTRI PENYEMPURNAAN KAIN
